# Original catalog: COSMOS2015_Laigle+_v1.1.fits.gz
# 
# Selected: 0 < ip (after correction) < 25.0,
#           ip_FLAGS < 4,
#           TYPE == 0,
#           PHOTOZ > 0,
#           CLASS == 0
# 
# Observe with: Single fibers
# 
# Date: 20 Jul 2021
# 
#  NUMBER  ALPHA_J2000  DELTA_J2000 PHOTOZ  MASS    SFR       u   u_err       B   B_err       V   V_err       r   r_err       i   i_err       z   z_err
   227753 150.19029512  1.623907622   0.55 11.08  -0.90   24.77    0.10   23.51    0.04   22.19    0.02   21.25    0.01   20.33    0.01   19.87    0.00
   227764 149.52863183  1.626836134   1.11 10.73   0.26   26.80   -1.00   27.44    0.53   26.27    0.28   25.58    0.15   24.30    0.08   23.14    0.04
   227800 150.03739477  1.626847809   0.88  9.90  -3.43   27.03    0.68   26.52    0.24   25.31    0.14   24.51    0.07   23.23    0.03   22.61    0.02
   227854 149.78233159  1.626780807   0.35  9.56  -0.99   25.28    0.22   24.50    0.06   23.45    0.04   22.84    0.03   22.25    0.02   21.91    0.01
   227890 149.46238569  1.626507576   1.15 10.75 -12.19   26.75   -1.00   26.89    0.34   26.08    0.26   25.09    0.11   23.97    0.06   22.90    0.03
   228534 149.77411351  1.625314193   0.36 10.03  -7.71   24.25    0.10   23.15    0.03   22.03    0.02   21.23    0.01   20.68    0.01   20.37    0.00
   228577 149.78106742  1.627177425   0.35  8.91  -5.85   25.92    0.40   25.11    0.09   24.19    0.07   23.45    0.04   23.00    0.04   22.73    0.03
   228623 150.31056656  1.626737257   0.69 10.12  -1.45   26.44    0.56   25.62    0.13   24.22    0.07   23.41    0.04   22.30    0.02   21.90    0.01
   228768 150.15627006  1.626937011   0.21  9.05  -7.40   24.37    0.06   23.46    0.04   22.45    0.03   22.00    0.02   21.56    0.01   21.34    0.01
   228891 149.67095537  1.625935086   0.63  9.96  -5.62   26.52    0.80   25.51    0.15   24.17    0.08   23.32    0.04   22.33    0.02   21.91    0.02
   229119 149.55157652  1.628827913   0.25  8.06  -2.86   26.75   -1.00   26.46    0.21   25.85    0.19   25.43    0.13   24.97    0.13   24.63    0.14
   229122 150.18239929  1.625265548   0.73 10.66  -1.91   25.92    0.27   25.05    0.09   23.56    0.05   22.75    0.03   21.52    0.01   21.02    0.01
   229145 150.34362575  1.628830943   0.60  8.83  -1.75   26.85   -1.00   26.76    0.31   26.17    0.25   25.20    0.11   24.47    0.08   24.21    0.09
   229177 150.36411145  1.632961270   0.52 11.69  -0.51   23.49    0.07   22.06    0.02   20.71    0.01   19.66    0.01   18.76    0.00   18.33    0.00
   229218 150.05470222  1.627115323   0.82 10.45  -1.54   26.65    0.52   25.97    0.17   24.58    0.09   23.62    0.04   22.33    0.02   21.75    0.01
   229272 149.58486274  1.627861470   1.19 10.86  -2.43   26.72   -1.00   26.75    0.35   25.77    0.24   24.97    0.12   23.74    0.05   22.74    0.03
   229294 149.90562430  1.627976716   0.32  9.36  -1.33   25.00    0.16   24.29    0.06   23.26    0.04   22.76    0.03   22.27    0.02   22.01    0.02
   229300 149.66145262  1.628529422   0.48  8.69  -1.89   26.61   -1.00   26.07    0.21   25.50    0.18   24.66    0.10   24.26    0.10   23.94    0.10
   229313 149.77687087  1.625222177   0.37 10.71  -4.74   23.80    0.07   22.49    0.02   21.24    0.01   20.38    0.01   19.78    0.01   19.42    0.00
   229441 150.40596268  1.628090155   0.83 10.31  -1.68   26.76   -1.00   26.06    0.24   24.74    0.11   23.97    0.06   22.77    0.03   22.14    0.02
   229767 150.17687545  1.626647606   0.22  9.43  -8.31   23.86    0.04   22.92    0.03   21.77    0.02   21.32    0.01   20.87    0.01   20.59    0.00
   229799 150.23417312  1.627044657   0.87 11.15  -0.18   25.53    0.28   24.71    0.08   23.82    0.06   22.92    0.03   21.73    0.01   20.87    0.01
   229826 149.99452936  1.627035879   0.88 10.86  -2.42   26.76   -1.00   25.59    0.14   24.43    0.09   23.38    0.04   22.11    0.02   21.29    0.01
   229857 149.66759898  1.627206967   0.49 10.91  -1.08   23.14    0.04   22.14    0.02   21.05    0.01   20.13    0.01   19.41    0.00   19.02    0.00
   229866 149.89039677  1.629369237   1.42  9.71   2.08   26.58   -1.00   25.82    0.16   25.67    0.20   25.49    0.16   24.66    0.12   24.13    0.11
   230041 149.62484215  1.626331619   0.57 10.93  -8.11   24.47    0.11   23.08    0.03   21.77    0.02   20.96    0.01   19.89    0.01   19.52    0.00
   230165 149.58548423  1.630818455   0.77  9.52  -0.15   25.92   -1.00   26.97   -1.00   25.92    0.42   25.47    0.27   24.69    0.21   24.34    0.24
   230177 149.66651900  1.630646722   0.43  8.76  -1.97   26.76   -1.00   26.47    0.23   25.82    0.19   25.23    0.11   24.52    0.09   24.32    0.11
   230187 150.21529191  1.629703170   2.09 10.71   2.19   26.64    0.67   27.32    0.54   25.84    0.23   25.56    0.18   24.65    0.11   24.06    0.10
   230275 150.40795706  1.628881384   0.82 10.59  -0.97   25.53    0.27   25.14    0.11   23.92    0.06   23.08    0.03   21.87    0.02   21.28    0.01
